State Name,District,Constituency Type,No Of Seats,Electors - Male,Electors - Female,Electors - Third Gender,Electors - Total,Electors - NRIs,Electors - Service,Voters - Male,Voters - Female,Voters - Third Gender,Voters - Postal,Voters - Total,Voters - NRIs,Voters - Poll Rejected Votes Postal,Evm Rejected Votes,NOTA Votes,Valid Votes Polled,Tendered Votes,Valid Votes Polled,Tendered Votes
Andhra Pradesh,Krishna,ST,3,773559,2517265,142,3293955,229,2760,1110178,687308,193,16621,1814612,312,90,198,34654,1779670,43,1779670,43
Andhra Pradesh,Kurnool,SC,4,2307275,1506988,398,3816522,801,1060,568250,1557063,424,4037,2130147,373,309,56,23515,2106267,18,2106267,18
Andhra Pradesh,Nandyal,GEN,2,1152578,524251,82,1681120,412,3797,274306,1856374,108,12869,2144581,924,194,620,29183,2114584,41,2114584,41
Andhra Pradesh,Nellore,ST,4,2215540,1544108,233,3762947,819,2247,830100,1027981,87,7107,1865948,673,315,773,47701,1817159,28,1817159,28
Andhra Pradesh,NTR,GEN,1,2883997,126983,212,3016497,380,4925,1552303,836743,161,14213,2403920,500,141,132,29777,2373870,28,2373870,28
Andhra Pradesh,Palnadu,SC,2,1917385,2120178,161,4041283,1409,2150,1774418,896024,172,6074,2676956,268,441,558,35518,2640439,2,2640439,2
Andhra Pradesh,Parvathipuram Manyam,ST,2,2878202,339265,83,3220251,493,2208,1988210,1699625,302,7392,3696373,844,320,798,67016,3628239,14,3628239,14
Andhra Pradesh,Prakasam,GEN,3,907993,2773799,122,3684862,37,2911,431648,1981939,429,20796,2435567,755,364,512,31131,2403560,20,2403560,20
Andhra Pradesh,Srikakulam,GEN,1,2589844,760736,3,3355970,1745,3642,1266808,773038,351,16691,2057236,348,460,407,24330,2032039,2,2032039,2
Andhra Pradesh,Sri Sathya Sai,ST,1,1650311,2880423,336,4533188,607,1511,961790,1441699,100,15051,2419470,830,139,563,30050,2388718,24,2388718,24
Andhra Pradesh,Tirupati,SC,2,687569,507633,26,1199606,1555,2823,471242,1406339,72,11679,1889914,582,133,304,50956,1838521,4,1838521,4
Andhra Pradesh,Visakhapatnam,ST,3,1216287,1567777,483,2788939,446,3946,491070,1561657,156,20133,2073813,797,237,649,53464,2019463,9,2019463,9
Andhra Pradesh,Vizianagaram,ST,2,991207,2472815,263,3470157,1926,3946,815773,863448,62,17256,1696558,19,407,564,16145,1679442,26,1679442,26
Andhra Pradesh,West Godavari,SC,3,2640039,1466518,486,4109064,1952,69,605754,1986577,226,14234,2607083,292,190,20,2029,2604844,18,2604844,18
Andhra Pradesh,YSR Kadapa,SC,4,1917886,1684668,474,3607617,1284,3305,1977441,1646889,128,24969,3649768,341,4,456,26630,3622678,23,3622678,23
Arunachal Pradesh,Anjaw,ST,2,641521,2365425,112,3008804,1233,513,1588220,1852447,138,4999,3446446,642,257,346,41241,3404602,39,3404602,39
Arunachal Pradesh,Changlang,GEN,4,192789,1185008,274,1380144,622,1451,660750,1058455,228,13869,1733921,619,228,328,52096,1681269,1,1681269,1
Arunachal Pradesh,East Kameng,GEN,3,1816843,751854,105,2569510,123,585,737214,1433738,120,4913,2176175,190,223,418,15116,2160418,8,2160418,8
Arunachal Pradesh,East Siang,GEN,3,2002235,99383,290,2104722,1253,1561,1786668,962946,276,15139,2765054,25,406,450,29524,2734674,33,2734674,33
Arunachal Pradesh,Kamle,ST,3,2205085,642575,423,2850377,313,1981,1012778,1731343,335,19712,2764442,274,268,446,57598,2706130,19,2706130,19
Arunachal Pradesh,Kra Daadi,GEN,4,355300,2004950,427,2363459,1209,1573,1373075,1217510,274,12307,2603285,119,345,612,46834,2555494,8,2555494,8
Arunachal Pradesh,Kurung Kumey,ST,1,1348453,1349472,454,2703294,153,4762,165934,681757,275,1928,850781,887,330,305,1167,848979,7,848979,7
Arunachal Pradesh,Lepa Rada,ST,3,936887,2733589,295,3671966,75,1120,284320,793277,371,18619,1096972,385,47,411,39563,1056951,10,1056951,10
Arunachal Pradesh,Lohit,GEN,1,2985663,1304814,113,4295785,439,4756,1773491,695739,196,4536,2474664,702,493,70,30295,2443806,49,2443806,49
Arunachal Pradesh,Longding,GEN,1,1477252,777910,109,2259694,257,4166,1099703,1865982,152,2977,2968832,18,239,766,60406,2907421,23,2907421,23
Arunachal Pradesh,Lower Dibang Valley,SC,2,2417184,1784506,101,4208083,1384,4908,588064,916141,342,4046,1509170,577,58,406,17958,1490748,35,1490748,35
Arunachal Pradesh,Lower Siang,ST,2,2295348,1742854,348,4041672,984,2138,1631409,1505451,396,23768,3161532,508,317,403,44452,3116360,2,3116360,2
Arunachal Pradesh,Lower Subansiri,SC,4,2001383,1967607,210,3973568,1238,3130,1518879,830006,221,10417,2360247,724,239,77,15294,2344637,39,2344637,39
Arunachal Pradesh,Namsai,SC,4,1321415,1343688,145,2670165,1765,3152,1361622,417753,411,5384,1786046,876,293,11,57773,1727969,16,1727969,16
Arunachal Pradesh,Pakke-Kessang,SC,4,343181,361425,339,706595,921,729,836232,62535,254,22171,921661,469,9,261,8362,913029,9,913029,9
Arunachal Pradesh,Papum Pare,SC,3,2843419,1900010,4,4746909,213,3263,1531886,1352216,441,1518,2887024,963,499,530,32328,2853667,19,2853667,19
Arunachal Pradesh,Shi Yomi,SC,4,2709714,2736047,62,5446280,183,274,1662378,831721,163,18442,2513552,848,491,564,36150,2476347,25,2476347,25
Arunachal Pradesh,Siang,SC,3,375847,2781297,327,3157534,46,17,1322583,1896701,369,22707,3242473,113,251,741,65972,3175509,26,3175509,26
Arunachal Pradesh,Tawang,SC,3,811782,510248,100,1325011,1233,1648,1394182,1931517,370,18604,3344727,54,341,213,184,3343989,13,3343989,13
Arunachal Pradesh,Tirap,GEN,2,1081113,2239582,241,3322587,1201,450,79369,592092,304,23978,695942,199,103,259,10966,684614,49,684614,49
Arunachal Pradesh,Upper Dibang Valley,SC,4,288868,2836031,242,3126852,571,1140,1537977,1033196,66,16058,2587299,2,64,132,43656,2543447,31,2543447,31
Arunachal Pradesh,Upper Siang,ST,4,1083128,1474814,310,2562667,1577,2838,1732918,1059197,444,4184,2797196,453,351,678,16662,2779505,33,2779505,33
Arunachal Pradesh,Upper Subansiri,ST,1,2472252,614058,176,3088421,1928,7,61702,1904035,447,20883,1987937,870,120,309,46281,1941227,7,1941227,7
Arunachal Pradesh,West Kameng,ST,4,2495867,2964658,121,5464314,1390,2278,1475813,674121,57,16522,2166935,422,65,177,23398,2143295,33,2143295,33
Arunachal Pradesh,West Siang,ST,2,1461307,844813,324,2311532,249,4839,762154,1449973,199,18622,2231591,643,337,549,14598,2216107,35,2216107,35
Arunachal Pradesh,Keyi Panyor,SC,3,2352912,1125779,373,3483361,1787,2510,988796,1657878,112,2751,2650076,539,196,739,6277,2642864,47,2642864,47
Arunachal Pradesh,Bichom,SC,3,798922,198426,235,1003228,1529,4116,1133362,1842433,415,18622,2995210,378,201,448,23982,2970579,23,2970579,23
Assam,Baksa,GEN,2,491820,1859536,162,2356542,919,4105,278286,1158043,359,2236,1439802,878,285,768,48735,1390014,47,1390014,47
Assam,Bajali,GEN,4,924193,800593,369,1730203,69,4979,533594,353753,125,10663,898639,504,236,334,6687,891382,31,891382,31
Assam,Barpeta,GEN,1,1705495,2922360,148,4632158,1559,2596,641401,1472370,267,6146,2120719,535,69,554,10891,2109205,6,2109205,6
Assam,Biswanath,ST,4,1916050,1184388,325,3103846,704,2379,236372,1168116,147,8578,1414086,873,339,576,60116,1353055,26,1353055,26
Assam,Bongaigaon,ST,1,1319417,1484698,297,2807071,1,2658,1944618,689108,375,24799,2659526,626,342,661,31070,2627453,25,2627453,25
Assam,Cachar,SC,2,153634,2722833,177,2877769,68,1057,500111,1288832,364,5241,1795506,958,347,112,39595,1755452,29,1755452,29
Assam,Charaideo,SC,1,1681081,2405698,5,4088115,61,1270,1673010,1893208,307,13549,3580931,857,7,155,32137,3548632,34,3548632,34
Assam,Chirang,SC,1,1262652,786462,351,2054343,78,4800,1141938,551625,32,1571,1695407,241,367,223,44725,1650092,45,1650092,45
Assam,Darrang,SC,3,1590533,1993841,266,3586213,301,1272,736750,1150199,353,13132,1900669,235,478,586,1523,1898082,26,1898082,26
Assam,Dhemaji,SC,1,2506311,2398819,402,4908380,1836,1012,203973,768877,382,2083,975409,94,66,698,42184,932461,48,932461,48
Assam,Dhubri,GEN,3,2342003,2669104,297,5013101,891,806,64375,981224,260,10379,1056884,646,453,77,63031,993323,11,993323,11
Assam,Dibrugarh,ST,1,148385,489580,411,640148,39,1733,1678116,1463366,290,15062,3157273,439,184,332,32063,3124694,34,3124694,34
Assam,Dima Hasao,SC,2,2928926,2658425,412,5589529,487,1279,1508345,1220712,331,24278,2754460,794,192,274,43407,2710587,27,2710587,27
Assam,Goalpara,SC,1,2272963,1289137,59,3566299,187,3953,98416,1231838,296,7613,1338300,137,197,159,56300,1281644,28,1281644,28
Assam,Golaghat,GEN,3,2330700,233165,39,2567010,1224,1882,814635,1501279,418,19995,2337009,682,275,389,69689,2266656,22,2266656,22
Assam,Hailakandi,GEN,1,2307164,1046106,302,3356414,1891,951,360481,1366558,290,19372,1747354,653,286,753,19798,1726517,39,1726517,39
Assam,Hojai,ST,3,1140711,1435283,70,2581177,1684,3429,148426,856383,286,15372,1021037,570,38,590,69787,950622,47,950622,47
Assam,Jorhat,GEN,2,117738,1823030,141,1941884,855,120,1628909,909904,147,12463,2552330,907,143,283,12358,2539546,12,2539546,12
Assam,Kamrup,GEN,2,2098140,790333,265,2893096,1771,2587,1555786,1473024,175,23655,3052747,107,276,691,32526,3019254,14,3019254,14
Assam,Kamrup Metropolitan,SC,2,2262985,498865,171,2763697,679,997,772035,1187567,269,12986,1973758,901,295,733,34835,1937895,7,1937895,7
Assam,Karbi Anglong,ST,3,2516679,2443761,470,4967121,1492,4719,30813,309590,191,18134,359005,277,158,776,68971,289100,14,289100,14
Assam,Karimganj,GEN,2,2614931,1479693,91,4098985,1923,2347,1469726,839192,252,15378,2324648,100,96,721,51645,2272186,28,2272186,28
Assam,Kokrajhar,SC,1,1999840,1830834,499,3833435,775,1487,1284511,484196,152,15181,1784541,501,497,365,68148,1715531,44,1715531,44
Assam,Lakhimpur,GEN,1,1232110,1369824,158,2605418,285,3041,1789247,1171648,276,3815,2965774,788,417,532,61892,2902933,38,2902933,38
Assam,Majuli,GEN,3,244215,1425593,238,1670823,406,371,377046,1396423,293,1379,1775311,170,221,551,25828,1748711,4,1748711,4
Assam,Morigaon,ST,4,608069,1642819,362,2254560,337,2973,253240,1594793,430,20267,1868917,187,347,396,35672,1832502,44,1832502,44
Assam,Nagaon,ST,2,1890825,1589308,343,3484068,497,3095,1042319,1940473,216,3904,2987659,747,293,100,30417,2956849,9,2956849,9
Assam,Nalbari,GEN,3,257032,2606972,229,2867033,1136,1664,944172,25449,85,11141,981617,770,32,190,3542,977853,4,977853,4
Assam,Sivasagar,SC,4,2699914,2399901,307,5104694,39,4533,836350,721484,268,6011,1565011,898,383,575,54327,1509726,3,1509726,3
Assam,Sonitpur,GEN,4,302880,2500587,271,2804147,194,215,929454,1231505,79,15759,2176953,156,239,548,56808,2119358,21,2119358,21
Assam,South Salmara-Mankachar,ST,4,2454544,1999433,377,4460038,1109,4575,399918,1088212,75,7799,1496166,162,89,375,37906,1457796,46,1457796,46
Assam,Tamulpur,SC,3,893858,2276464,1,3172464,763,1378,1214512,477263,300,11256,1704048,717,175,533,42318,1661022,5,1661022,5
Assam,Tinsukia,ST,3,650815,1240591,415,1897637,1992,3824,1170386,982938,299,16726,2171025,676,35,380,29341,2141269,37,2141269,37
Assam,Udalguri,SC,1,1838117,699126,370,2539254,609,1032,409870,635439,369,10038,1056156,440,237,336,22295,1033288,7,1033288,7
Assam,West Karbi Anglong,GEN,1,1486375,1352420,14,2839549,428,312,618285,1780404,362,16189,2416161,921,93,508,63262,2352298,25,2352298,25
Bihar,Araria,SC,2,659732,575990,59,1241835,1681,4373,667514,41543,113,23735,733752,847,378,347,43815,689212,14,689212,14
Bihar,Arwal,GEN,2,1408134,2160152,466,3572478,762,2964,630211,1190754,55,22628,1843959,311,434,314,35854,1807357,40,1807357,40
Bihar,Aurangabad,GEN,3,277034,2102714,315,2385253,257,4933,651075,773948,329,11845,1437313,116,166,259,830,1436058,39,1436058,39
Bihar,Banka,SC,1,1175752,293939,76,1471730,1641,322,69191,187732,396,19726,277844,799,489,597,50788,225970,32,225970,32
Bihar,Begusarai,ST,4,687184,988180,449,1680761,643,4305,281850,1174447,435,14667,1471606,207,308,646,20398,1450254,37,1450254,37
Bihar,Bhagalpur,ST,1,786180,1050785,350,1838608,784,509,618249,29504,179,7431,656217,854,81,604,50809,604723,29,604723,29
Bihar,Bhojpur,SC,3,1385357,639949,324,2031928,1551,4747,624853,1587378,154,1283,2214526,858,252,166,2365,2211743,9,2211743,9
Bihar,Buxar,SC,4,2471146,2169131,445,4642486,1360,404,1282907,63264,305,12149,1359387,762,417,717,30223,1328030,23,1328030,23
Bihar,Darbhanga,SC,2,2424059,2405254,405,4831322,470,1134,54466,1898566,200,14497,1967934,205,321,541,59832,1907240,17,1907240,17
Bihar,East Champaran,SC,4,72309,1933526,276,2012317,1737,4469,1651033,286288,168,10579,1948188,120,205,626,58345,1889012,5,1889012,5
Bihar,Gaya,ST,2,2339297,358248,170,2700197,922,1560,717210,318592,40,11257,1047134,35,130,231,58931,987842,46,987842,46
Bihar,Gopalganj,GEN,3,2879002,430730,348,3311314,850,384,302335,1111811,99,15648,1429936,43,252,667,11058,1417959,5,1417959,5
Bihar,Jamui,ST,4,2546725,532596,173,3081470,779,1197,1497100,589842,413,2914,2090751,482,416,223,323,2089789,16,2089789,16
Bihar,Jehanabad,ST,2,2795247,2679771,240,5480094,1741,3095,1624770,1002342,327,3640,2631474,395,47,265,41921,2589241,3,2589241,3
Bihar,Kaimur,SC,2,1234070,540257,283,1777080,1827,643,22154,106860,321,3016,132711,360,236,513,6173,125789,8,125789,8
Bihar,Katihar,SC,4,648037,2542936,105,3194269,1477,1714,1494741,439382,109,23365,1958029,432,23,39,15274,1942693,16,1942693,16
Bihar,Khagaria,GEN,1,626081,2847773,204,3477294,1635,1601,107808,281178,103,22405,412050,556,356,169,20647,390878,41,390878,41
Bihar,Kishanganj,ST,1,2993674,862003,196,3858752,719,2160,230808,213720,273,14286,459834,747,474,67,5970,453323,17,453323,17
Bihar,Lakhisarai,GEN,2,2265687,2825160,19,5094638,1051,2721,1937878,93367,56,12693,2044920,926,77,38,57423,1987382,36,1987382,36
Bihar,Madhepura,ST,4,2604609,747777,206,3358395,1848,3955,1047859,1004807,398,4614,2058227,549,306,240,18921,2038760,38,2038760,38
Bihar,Madhubani,SC,2,210929,960775,107,1176841,844,4186,224867,750754,233,10971,986998,173,226,339,51043,935390,31,935390,31
Bihar,Munger,SC,4,1600112,2480587,404,4085027,249,3675,223376,1424463,319,19052,1668074,864,381,335,47102,1620256,31,1620256,31
Bihar,Muzaffarpur,GEN,3,145225,1835152,52,1984886,1264,3193,795830,160672,175,13796,970843,370,286,413,23262,946882,36,946882,36
Bihar,Nalanda,SC,3,1623458,1005476,467,2634994,1885,3708,379294,1771896,204,11746,2163290,150,99,419,25688,2137084,47,2137084,47
Bihar,Nawada,ST,4,2173823,2856100,431,5032038,1030,654,1236171,1455930,106,4288,2696876,381,116,270,11969,2684521,41,2684521,41
Bihar,Patna,ST,2,498723,837616,3,1341038,87,4609,606138,1851373,237,8600,2467031,683,324,233,26590,2439884,35,2439884,35
Bihar,Purnia,ST,4,1882620,1933862,286,3819007,1330,909,746700,143533,288,4821,895657,315,258,173,21640,873586,32,873586,32
Bihar,Rohtas,ST,4,2148026,69568,410,2220505,1569,932,125532,542533,417,3109,672064,473,71,70,31482,640441,24,640441,24
Bihar,Saharsa,SC,4,208520,1278329,200,1491307,1152,3106,1616537,1273314,335,2196,2892575,193,309,648,16730,2874888,49,2874888,49
Bihar,Samastipur,ST,2,1092877,2957475,198,4052120,1379,191,694755,1612824,421,4506,2312598,92,260,72,4428,2307838,41,2307838,41
Bihar,Saran,SC,3,914520,1576296,263,2496463,843,4541,1800924,1144097,392,14094,2959533,26,130,634,13180,2945589,18,2945589,18
Bihar,Sheikhpura,ST,4,863809,1156381,469,2023204,825,1720,373872,1357622,276,15802,1748291,719,235,378,11937,1735741,30,1735741,30
Bihar,Sheohar,GEN,1,73687,1167255,413,1246494,981,4158,623782,441003,437,22529,1088419,668,489,524,31088,1056318,36,1056318,36
Bihar,Sitamarhi,ST,2,996543,1349633,115,2351264,535,4438,243746,282584,301,3859,531328,838,87,423,33079,497739,2,497739,2
Bihar,Siwan,SC,1,1253760,214231,319,1469776,263,1203,606510,363468,86,8381,979037,592,37,243,69220,909537,11,909537,11
Bihar,Supaul,GEN,2,1527761,1365845,18,2895304,788,892,1509937,182339,7,22980,1715540,277,432,24,65290,1649794,10,1649794,10
Bihar,Vaishali,ST,2,2388458,1781872,480,4172752,1611,331,660308,1558345,70,4174,2223343,446,290,35,69810,2153208,20,2153208,20
Bihar,West Champaran,GEN,2,557243,161218,220,721246,1649,916,946886,456232,99,16978,1421084,889,23,790,38939,1381332,16,1381332,16
Chhattisgarh,Balod,SC,1,902986,2634422,0,3541473,1297,2768,1863296,1256612,375,14449,3134935,203,361,407,29526,3104641,22,3104641,22
Chhattisgarh,Baloda Bazar,GEN,3,868265,2113518,2,2983282,1387,110,1229023,763981,376,6712,2000547,455,213,409,46867,1953058,45,1953058,45
Chhattisgarh,Balrampur-Ramanujganj,ST,3,1047304,1706600,222,2755156,558,472,866172,1266053,368,13895,2147056,568,214,420,31305,2115117,5,2115117,5
Chhattisgarh,Bastar,ST,1,433186,1738609,252,2175599,1263,2289,782556,1433347,405,18604,2235330,418,400,209,53142,2181579,4,2181579,4
Chhattisgarh,Bemetara,GEN,4,2070921,1516739,129,3592830,1297,3744,671378,1484373,376,1608,2158671,936,418,611,69141,2088501,23,2088501,23
Chhattisgarh,Bijapur,GEN,4,876748,1508813,351,2390756,1685,3159,1897377,619775,200,17707,2535929,870,412,298,62542,2472677,14,2472677,14
Chhattisgarh,Bilaspur,ST,4,1663149,128210,2,1793042,380,1301,203861,448886,0,7659,660539,133,362,431,60974,598772,34,598772,34
Chhattisgarh,Dantewada,GEN,3,1557877,513848,325,2077455,1873,3532,546537,20745,68,23527,591750,873,98,762,24730,566160,26,566160,26
Chhattisgarh,Dhamtari,SC,2,1037059,1850642,9,2891006,528,2768,899650,132766,44,4516,1037277,301,466,637,54258,981916,6,981916,6
Chhattisgarh,Durg,GEN,3,1391171,1146971,377,2544529,1919,4091,1973243,1823693,162,22992,3820417,327,110,633,27222,3792452,32,3792452,32
Chhattisgarh,Gariaband,ST,4,970687,1037131,84,2011656,305,3449,1606652,1239591,309,21248,2868544,744,481,166,35639,2832258,42,2832258,42
Chhattisgarh,Gaurela-Pendra-Marwahi,GEN,2,1698232,1396447,92,3095952,973,208,1404734,1845305,382,15879,3266664,364,183,211,68642,3197628,1,3197628,1
Chhattisgarh,Janjgir-Champa,GEN,4,1875260,441228,0,2319619,481,2650,805745,1286691,307,2616,2095818,459,80,116,64852,2030770,25,2030770,25
Chhattisgarh,Jashpur,ST,3,1732004,2341344,98,4079614,1750,4418,346907,781686,296,3754,1132899,256,105,773,32150,1099871,35,1099871,35
Chhattisgarh,Kabirdham,ST,4,2165971,1063765,477,3232720,1873,634,944223,995679,372,2398,1942941,269,124,531,27819,1914467,32,1914467,32
Chhattisgarh,Kanker,ST,4,2378499,2529276,133,4911303,1263,2132,1209463,816616,86,10766,2037643,712,159,579,50530,1986375,2,1986375,2
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,ST,3,2102082,1406648,499,3513205,406,3570,1020975,1634761,58,23558,2680049,697,28,779,46928,2632314,17,2632314,17
Chhattisgarh,Kondagaon,GEN,2,451444,1215822,296,1672361,331,4468,659211,1733214,13,6507,2399371,426,82,588,49786,2348915,40,2348915,40
Chhattisgarh,Korba,GEN,1,1663893,384867,375,2053556,1867,2554,1777122,1350231,130,20735,3148706,488,260,456,31423,3116567,19,3116567,19
Chhattisgarh,Korea,ST,1,2324918,124845,25,2453006,207,3011,838496,97048,446,19412,956025,623,82,427,54414,901102,27,901102,27
Chhattisgarh,Mahasamund,SC,3,2037640,706283,459,2748906,1432,3092,89957,380700,229,15575,487094,633,342,629,55227,430896,24,430896,24
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,GEN,2,807494,2178141,400,2987805,978,792,1979144,1101188,370,13897,3094961,362,230,231,11062,3083438,43,3083438,43
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,GEN,1,1161481,1758239,97,2921088,543,728,882476,1068121,336,17885,1969635,817,80,236,26167,1943152,19,1943152,19
Chhattisgarh,Mungeli,GEN,2,2048693,2990980,63,5044610,1212,3662,1795765,1129936,433,20920,2947689,635,18,217,39614,2907840,15,2907840,15
Chhattisgarh,Narayanpur,GEN,4,2768058,2064900,73,4837875,1650,3194,1602014,889720,417,19936,2512439,352,49,365,44451,2467574,38,2467574,38
Chhattisgarh,Raigarh,GEN,3,1433398,1925009,202,3364349,1020,4720,761270,841014,418,19912,1622751,137,189,692,35972,1585898,35,1585898,35
Chhattisgarh,Raipur,GEN,2,2492070,1809092,393,4307231,1247,4429,1527552,1369263,295,9350,2906957,497,121,704,13244,2892888,41,2892888,41
Chhattisgarh,Rajnandgaon,ST,2,537746,294654,258,836038,1269,2111,196038,654317,375,13008,864107,369,307,26,6815,856959,35,856959,35
Chhattisgarh,Sarangarh-Bilaigarh,GEN,4,2524133,117988,342,2643054,390,201,526176,1714623,356,6001,2247171,15,0,690,48455,2198026,48,2198026,48
Chhattisgarh,Sakti,ST,4,1388893,2819000,201,4210961,1314,1553,1105719,1727794,208,15078,2849253,454,102,19,17316,2831816,49,2831816,49
Chhattisgarh,Sukma,SC,1,2780134,2954900,233,5737024,1625,132,195441,984238,95,20596,1201109,739,291,275,7266,1193277,3,1193277,3
Chhattisgarh,Surajpur,SC,3,2109195,2008720,456,4123929,1349,4209,1540674,1615352,367,6780,3163319,146,77,679,32578,3129985,43,3129985,43
Chhattisgarh,Surguja,GEN,1,1951723,2956451,118,4913004,504,4208,1618495,168877,180,20383,1808718,783,25,597,48926,1759170,36,1759170,36
Goa,North Goa,SC,2,2619353,2954674,468,5575117,113,509,216136,857061,87,9827,1083652,541,483,564,11975,1070630,12,1070630,12
Goa,South Goa,GEN,3,1452881,398719,411,1852704,28,665,1565981,90379,284,5461,1662396,291,30,64,22268,1640034,14,1640034,14
Gujarat,Ahmedabad,ST,1,2683683,126460,378,2812946,608,1817,1614566,724205,201,2589,2341721,160,379,396,47397,2293549,1,2293549,1
Gujarat,Amreli,ST,4,158517,1931043,34,2092485,28,2863,511995,57263,119,7881,577906,648,171,25,51613,526097,24,526097,24
Gujarat,Anand,SC,1,2358673,442463,231,2804263,948,1948,1969844,460218,298,9551,2440408,497,91,339,29523,2410455,25,2410455,25
Gujarat,Aravalli,ST,4,502225,2196810,185,2701532,252,2060,1469583,1297906,316,20734,2789325,786,371,413,52839,2735702,35,2735702,35
Gujarat,Banaskantha,ST,3,1481923,596934,361,2083677,1007,3452,1729851,1331571,30,20267,3081873,154,241,741,60726,3020165,47,3020165,47
Gujarat,Bharuch,GEN,3,2310754,1103135,239,3416380,1781,471,1065385,291274,15,12389,1369440,377,211,748,58518,1309963,47,1309963,47
Gujarat,Bhavnagar,ST,4,2171068,193475,496,2368569,1595,1935,44326,556129,87,8404,609407,461,385,690,40527,567805,37,567805,37
Gujarat,Botad,SC,4,1688046,1667689,201,3358756,65,2755,203826,1729200,446,19717,1954032,843,39,478,58988,1894527,17,1894527,17
Gujarat,Chhota Udaipur,GEN,1,75733,1888739,363,1968109,174,3100,1002457,58865,4,20366,1081761,69,175,147,64285,1017154,48,1017154,48
Gujarat,Dahod,ST,4,500994,516688,126,1020979,501,2670,1458420,1903464,357,9699,3372013,73,141,81,55711,3316080,3,3316080,3
Gujarat,Dang,ST,1,2467300,898080,413,3368774,471,2510,1803438,1710336,281,17346,3531406,5,393,225,50498,3480290,42,3480290,42
Gujarat,Devbhumi Dwarka,GEN,1,545295,2998367,285,3544359,25,387,1275867,815238,101,24174,2116374,994,95,636,19323,2096320,19,2096320,19
Gujarat,Gandhinagar,ST,3,1299909,1798464,28,3101961,725,2835,56354,738887,22,7141,802909,505,418,630,1786,800075,5,800075,5
Gujarat,Gir Somnath,ST,1,1630183,1432112,452,3065329,529,2053,1905280,1425448,341,13231,3344563,263,261,311,11562,3332429,34,3332429,34
Gujarat,Jamnagar,GEN,2,2974682,761211,29,3737034,271,841,338920,643680,364,22050,1005474,460,119,592,67589,937174,21,937174,21
Gujarat,Junagadh,GEN,2,92433,1729676,398,1826008,772,2729,1604068,987319,154,22026,2614092,525,309,689,45179,2567915,33,2567915,33
Gujarat,Kheda,GEN,4,2541065,2546087,390,5089896,1549,805,1940413,1286146,443,1052,3228218,164,173,712,60826,3166507,14,3166507,14
Gujarat,Kutch,ST,3,1775466,2146757,300,3927566,946,4097,363920,870443,211,6983,1242550,993,336,575,65162,1176477,40,1176477,40
Gujarat,Mahisagar,ST,3,691528,2156783,282,2854853,1331,4929,157916,1964345,253,13789,2136911,608,86,97,63100,2073628,11,2073628,11
Gujarat,Mehsana,GEN,3,598572,662642,367,1265465,180,3704,1432383,210361,242,1450,1644700,264,452,247,51897,1592104,21,1592104,21
Gujarat,Morbi,SC,1,2663651,605188,458,3274031,1806,2928,1434505,1468921,252,10988,2915659,993,94,91,11848,2903626,30,2903626,30
